simulation time (min);1440.0;only events that occure within the simulation time are considered (events after that time are ignored)
manager id;event;time;result;involved station
1;EventManagerAddBikesToStation;17054;SUCCESS;49
1;EventManagerAddBikesToStation;17069;SUCCESS;142
1;EventManagerAddBikesToStation;17115;SUCCESS;49
1;EventManagerAddBikesToStation;17116;SUCCESS;80
1;EventManagerAddBikesToStation;17120;SUCCESS;142
1;EventManagerAddBikesToStation;17165;SUCCESS;49
1;EventManagerAddBikesToStation;17217;SUCCESS;49
1;EventManagerAddBikesToStation;17273;SUCCESS;80
1;EventManagerAddBikesToStation;17274;SUCCESS;49
1;EventManagerAddBikesToStation;17318;SUCCESS;75
1;EventManagerAddBikesToStation;17328;SUCCESS;75
1;EventManagerAddBikesToStation;17358;SUCCESS;80
1;EventManagerAddBikesToStation;17360;SUCCESS;49
1;EventManagerAddBikesToStation;17416;SUCCESS;49
1;EventManagerAddBikesToStation;17541;SUCCESS;49
1;EventManagerAddBikesToStation;17915;SUCCESS;89
1;EventManagerAddBikesToStation;17997;SUCCESS;142
1;EventManagerAddBikesToStation;18057;SUCCESS;79
1;EventManagerAddBikesToStation;18113;SUCCESS;79
1;EventManagerAddBikesToStation;18166;SUCCESS;89
1;EventManagerAddBikesToStation;18173;SUCCESS;89
1;EventManagerAddBikesToStation;18175;SUCCESS;89
1;EventManagerAddBikesToStation;18335;SUCCESS;89
1;EventManagerAddBikesToStation;18404;SUCCESS;79
1;EventManagerAddBikesToStation;18487;SUCCESS;79
1;EventManagerAddBikesToStation;18706;SUCCESS;79
1;EventManagerAddBikesToStation;18763;SUCCESS;134
1;EventManagerAddBikesToStation;18778;SUCCESS;79
1;EventManagerAddBikesToStation;18791;SUCCESS;79
1;EventManagerAddBikesToStation;18831;SUCCESS;134
1;EventManagerAddBikesToStation;18879;SUCCESS;134
1;EventManagerAddBikesToStation;18947;SUCCESS;134
1;EventManagerAddBikesToStation;19115;SUCCESS;81
1;EventManagerAddBikesToStation;19147;SUCCESS;81
1;EventManagerAddBikesToStation;19154;SUCCESS;81
1;EventManagerAddBikesToStation;19160;SUCCESS;81
1;EventManagerAddBikesToStation;19172;SUCCESS;81
1;EventManagerAddBikesToStation;19691;SUCCESS;128
1;EventManagerAddBikesToStation;19799;SUCCESS;128
1;EventManagerTakeBikesFromStation;19800;SUCCESS;139
1;EventManagerTakeBikesFromStation;19800;SUCCESS;126
1;EventManagerTakeBikesFromStation;19800;SUCCESS;126
1;EventManagerTakeBikesFromStation;19800;SUCCESS;126
1;EventManagerAddBikesToStation;19935;SUCCESS;128
1;EventManagerAddBikesToStation;19962;SUCCESS;128
1;EventManagerAddBikesToStation;20338;SUCCESS;81
1;EventManagerAddBikesToStation;20462;SUCCESS;81
1;EventManagerAddBikesToStation;20712;SUCCESS;6
1;EventManagerAddBikesToStation;21046;SUCCESS;81
1;EventManagerAddBikesToStation;21104;SUCCESS;81
1;EventManagerAddBikesToStation;22928;SUCCESS;172
1;EventManagerAddBikesToStation;22952;SUCCESS;172
